术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
数据源,智能制造 工业数据空间参考模型,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,格式冲突,定义2（数据来源类型）缺少属概念且种差要素不可识别，不符合内涵定义的基本结构。
数据源,智能制造 工业数据 云端适配规范,生态科学数据元数据,层级冲突,定义1将术语的属概念定位为“系统或设备”，定义2则定位为“说明”，两者属于完全不同的上位概念体系。
数据源,智能制造 工业数据 云端适配规范,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,领域冲突,两个定义将术语置于不同领域（智能制造数据系统 vs. 基础地理信息要素），导致属概念（数据采集系统/设备 vs. 来源类型）和核心关注点（物理实体 vs. 记录类别）存在本质差异。
数据源,智能制造 工业数据 云端适配规范,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,格式冲突,定义2缺少属概念且种差要素不可识别，不符合内涵定义的基本写作规范。
数据源,生态科学数据元数据,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,领域冲突,两个定义将术语置于不同学科/领域的属概念下（‘说明’与‘类型’），体现了各自领域对‘数据源’本质和功能的不同理解。
数据源,生态科学数据元数据,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,层级冲突,定义1的属概念为'说明'，定义2的属概念为'类型'，两者属于不同的上位概念范畴。
数据状态,输变电工程数据移交规范,发电工程数据移交,层级冲突,两个定义将“数据状态”归入不同的上位概念（属），分别是“情况或状况标识”和“数据交换参考代码中的分类”。
数据状态代码,智慧城市 数据融合 第2部分：数据编码规范,输变电工程数据移交规范,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属概念是“标识数据是否经过融合处理”的代码，定义2的属概念是“标识数据状态”的代码，导致层级定位不同。
数据生命周期,信息技术 数据质量评价指标,城市数据治理能力成熟度模型,层级冲突,定义1的属概念是‘一组过程’，定义2的属概念是‘记录和分析...情况’，两者将术语归入不同的上位概念，导致层级定位不同。
数据生命周期,信息技术 数据质量评价指标,信息技术服务 外包 第2部分：数据保护要求,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“一组过程”，定义2的属是“生命历程”或“过程”，导致层级定位不同。
数据生命周期,信息技术 数据质量评价指标,信息技术服务 治理 第5部分：数据治理规范,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“一组过程”，定义2的属是“过程”，导致对术语的层级定位不同。
数据生命周期,信息技术 数据质量评价指标,科学数据安全审计要求,层级冲突,两个定义将“数据生命周期”归入不同的上位概念（“一组过程”与“六个阶段”），导致其层级定位不同。
数据生命周期,城市数据治理能力成熟度模型,信息技术服务 外包 第2部分：数据保护要求,层级冲突,定义1的属概念是‘管理’（活动），定义2的属概念是‘生命历程’或‘过程’（历程/过程），两者将术语归入不同的上位范畴。
数据生命周期,城市数据治理能力成熟度模型,信息技术服务 治理 第5部分：数据治理规范,范围冲突,两个定义对“数据生命周期”过程阶段的边界划定不同，定义1侧重管理活动，定义2明确列举了具体形态演变阶段。
数据生命周期,城市数据治理能力成熟度模型,科学数据安全审计要求,范围冲突,两个定义对“数据生命周期”指称的阶段范围划定不同，定义1强调管理活动，定义2明确列举了六个具体阶段，导致外延边界不一致。
数据生命周期,城市数据治理能力成熟度模型,信息技术 大数据 术语,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属概念是‘管理’或‘活动’，定义2的属概念是‘一组过程’，导致层级定位不同。
数据生命周期,信息技术服务 外包 第2部分：数据保护要求,信息技术服务 治理 第5部分：数据治理规范,层级冲突,定义1的属概念是“生命历程”和“过程”，强调服务管理视角；定义2的属概念是“过程”，强调形态演变的技术视角，两者上位范畴定位不同。
数据生命周期,信息技术服务 外包 第2部分：数据保护要求,科学数据安全审计要求,层级冲突,两个定义将“数据生命周期”归入不同的上位概念（属），定义1的属概念是“生命历程/过程”，定义2的属概念是“六个阶段”，导致层级定位不同。
数据生命周期,信息技术服务 外包 第2部分：数据保护要求,信息技术 大数据 术语,层级冲突,两个定义将“数据生命周期”归入不同的上位概念（属），一个归为“生命历程/过程”，另一个归为“一组过程”，导致层级定位不同。
数据生命周期,信息技术服务 治理 第5部分：数据治理规范,科学数据安全审计要求,范围冲突,两个定义对“数据生命周期”过程阶段的划分（外延/边界）不同，导致某些具体活动（如“整合”、“分析”、“呈现”）在一个定义中属于该过程，在另一个定义中未被明确包含。
数据生命周期,信息技术服务 治理 第5部分：数据治理规范,信息技术 大数据 术语,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“过程”，定义2的属是“一组过程”，且种差描述的本质视角不同，前者强调形态演变，后者强调目的转化。
数据生命周期,科学数据安全审计要求,信息技术 大数据 术语,层级冲突,定义1的属概念是“六个阶段”，定义2的属概念是“一组过程”，两者属于不同的上位概念体系，导致对术语的层级定位不同。
数据立方体,统计数据与元数据交换（SDMX） 第1部分：框架,统计数据与元数据交换（SDMX） 第2部分：信息模型 统一建模语言（UML）概念设计,格式冲突,定义1未提供符合内涵定义逻辑的属概念和种差，结构失范，无法与定义2进行有效要素对比。
数据管理,智能制造 工业云服务 数据管理通用要求,发电工程数据移交,领域冲突,两个定义将“数据管理”归入不同领域（工业云系统 vs. 发电工程电厂生命周期），其属概念（活动 vs. 过程）和核心活动范围体现了不同领域的视角和关注点。
